"C:\Program Files\Java\jdk-17.0.4\bin\java.exe" -agentlib:jdwp=transport=dt_socket,address=127.0.0.1:56921,suspend=y,server=n -agentpath:C:\Users\Administrator\AppData\Local\Temp\idea_libasyncProfiler_dll_temp_folder467\libasyncProfiler.dll=version,jfr,event=wall,interval=10ms,cstack=no,file=C:\Users\Administrator\IdeaSnapshots\Main_2025_03_24_215012.jfr,dbghelppath=C:\Users\Administrator\AppData\Local\Temp\idea_dbghelp_dll_temp_folder2700\dbghelp.dll,log=C:\Users\Administrator\AppData\Local\Temp\Main_2025_03_24_215012.jfr.log.txt,logLevel=DEBUG -javaagent:C:\Users\Administrator\AppData\Local\JetBrains\IntelliJIdea2024.3\captureAgent\debugger-agent.jar -Dkotlinx.coroutines.debug.enable.creation.stack.trace=false -Ddebugger.agent.enable.coroutines=true -Dkotlinx.coroutines.debug.enable.flows.stack.trace=true -Dkotlinx.coroutines.debug.enable.mutable.state.flows.stack.trace=true -Dfile.encoding=UTF-8 -classpath "D:\ideaWorkSpaceAll\boom_beach_exp\target\classes;D:\repository\cn\hutool\hutool-all\5.8.20\hutool-all-5.8.20.jar;D:\repository\org\jsoup\jsoup\1.10.2\jsoup-1.10.2.jar;D:\idea24\IntelliJ IDEA 2024.3.1.1\lib\idea_rt.jar" com.yll.Main
已连接到地址为 ''127.0.0.1:56921'，传输: '套接字'' 的目标虚拟机
加载数据完毕
单独建筑升级顺序：
加农炮：3->4（ max：14） exp：18 ratio：5.1 sumExp：18 totalTime:3.5h  spend:3.5h
重机枪：7->8（ max：16） exp：20 ratio：5.0 sumExp：38 totalTime:7.5h  spend:4.0h
重机枪：7->8（ max：16） exp：20 ratio：5.0 sumExp：58 totalTime:11.5h  spend:4.0h
重机枪：7->8（ max：16） exp：20 ratio：5.0 sumExp：78 totalTime:15.5h  spend:4.0h
重机枪：7->8（ max：16） exp：20 ratio：5.0 sumExp：98 totalTime:19.5h  spend:4.0h
重机枪：7->8（ max：16） exp：20 ratio：5.0 sumExp：118 totalTime:23.5h  spend:4.0h
迫击炮：6->7（ max：15） exp：20 ratio：5.0 sumExp：138 totalTime:1.1d  spend:4.0h
迫击炮：6->7（ max：15） exp：20 ratio：5.0 sumExp：158 totalTime:1.3d  spend:4.0h
玩家升级了！！！  39--->40，剩余8经验
狙击塔：9->10（ max：17） exp：20 ratio：5.0 sumExp：178 totalTime:1.5d  spend:4.0h
狙击塔：9->10（ max：17） exp：20 ratio：5.0 sumExp：198 totalTime:1.6d  spend:4.0h
狙击塔：9->10（ max：17） exp：20 ratio：5.0 sumExp：218 totalTime:1.8d  spend:4.0h
狙击塔：9->10（ max：17） exp：20 ratio：5.0 sumExp：238 totalTime:2.0d  spend:4.0h
狙击塔：9->10（ max：17） exp：20 ratio：5.0 sumExp：258 totalTime:2.1d  spend:4.0h
狙击塔：9->10（ max：17） exp：20 ratio：5.0 sumExp：278 totalTime:2.3d  spend:4.0h
加农炮：4->5（ max：14） exp：20 ratio：5.0 sumExp：298 totalTime:2.5d  spend:4.0h
加农炮：4->5（ max：14） exp：20 ratio：5.0 sumExp：318 totalTime:2.6d  spend:4.0h
加农炮：4->5（ max：14） exp：20 ratio：5.0 sumExp：338 totalTime:2.8d  spend:4.0h
加农炮：4->5（ max：14） exp：20 ratio：5.0 sumExp：358 totalTime:3.0d  spend:4.0h
加农炮：4->5（ max：14） exp：20 ratio：5.0 sumExp：378 totalTime:3.1d  spend:4.0h
火箭发射器：2->3（ max：7） exp：34 ratio：4.9 sumExp：412 totalTime:3.4d  spend:7.0h
火箭发射器：2->3（ max：7） exp：34 ratio：4.9 sumExp：446 totalTime:3.7d  spend:7.0h
迫击炮：7->8（ max：15） exp：24 ratio：4.8 sumExp：470 totalTime:3.9d  spend:5.0h
迫击炮：7->8（ max：15） exp：24 ratio：4.8 sumExp：494 totalTime:4.1d  spend:5.0h
迫击炮：7->8（ max：15） exp：24 ratio：4.8 sumExp：518 totalTime:4.4d  spend:5.0h
狙击塔：10->11（ max：17） exp：24 ratio：4.8 sumExp：542 totalTime:4.6d  spend:5.0h
狙击塔：10->11（ max：17） exp：24 ratio：4.8 sumExp：566 totalTime:4.8d  spend:5.0h
狙击塔：10->11（ max：17） exp：24 ratio：4.8 sumExp：590 totalTime:5.0d  spend:5.0h
狙击塔：10->11（ max：17） exp：24 ratio：4.8 sumExp：614 totalTime:5.2d  spend:5.0h
狙击塔：10->11（ max：17） exp：24 ratio：4.8 sumExp：638 totalTime:5.4d  spend:5.0h
狙击塔：10->11（ max：17） exp：24 ratio：4.8 sumExp：662 totalTime:5.6d  spend:5.0h
加农炮：5->6（ max：14） exp：24 ratio：4.8 sumExp：686 totalTime:5.8d  spend:5.0h
加农炮：5->6（ max：14） exp：24 ratio：4.8 sumExp：710 totalTime:6.0d  spend:5.0h
加农炮：5->6（ max：14） exp：24 ratio：4.8 sumExp：734 totalTime:6.2d  spend:5.0h
加农炮：5->6（ max：14） exp：24 ratio：4.8 sumExp：758 totalTime:6.4d  spend:5.0h
加农炮：5->6（ max：14） exp：24 ratio：4.8 sumExp：782 totalTime:6.6d  spend:5.0h
火焰喷射器：3->4（ max：11） exp：24 ratio：4.8 sumExp：806 totalTime:6.9d  spend:5.0h
